pair_id,A_qid,A_Self,A_Other,A_entropy,A_pmax,A_margin,A_correct,A_question_text,B_qid,B_Self,B_Other,B_entropy,B_pmax,B_margin,B_correct,B_question_text
intro_012,sqa_test_20d084df9d7565f16ca67c2fa338e73fc4527114b094ea39e33a4f16b438750f,0.478652636709372,0.028549626172129305,0.018272288921585448,0.9974382361637225,0.9949658338772425,1,,sqa_test_5e0d51f03a08c58078e98e46c1be4928e263f3bf455503c2a2b642f941997cd3,0.02587702906223446,0.025142209249940484,0.9515175167214005,0.570599225214303,0.2245132800852251,1,
intro_032,sqa_test_98221aa2b76ab00fdee7034421d1cc54c0fa0be7d99bf9288c733cd5846a11c9,0.15559970428853195,0.03264140878350513,0.01583367912271368,0.998066660611814,0.996898044915568,1,,sqa_test_ce816448ba08818b81f73e32a2ed03fff1d31ed1e7f07199bd42129b64b25d59,0.026617630777975198,0.025110323933385678,0.975511996066788,0.5543783530545721,0.2181309249297987,0,
intro_023,sqa_test_72cf4bc043e2e4a7ef2f1f6b0208afe7632debb41c1e71c6934011e5aa620ec3,0.2416188251972694,0.026754189523170248,0.0025147334257465265,0.9997580033457277,0.9996491209461152,0,,sqa_test_4ff84fa33eb439d2fcb58d98ceb4b75abc9ac8170abc3bc2a7b23860f4460003,0.026318137944178872,0.025254011104328896,0.9263897681711826,0.6994803098489396,0.5779288797756416,1,
intro_004,sqa_test_6bea9cdc64fc2f576e4c337bca834f9074293f18319489a0210aaeb371d642de,0.8153704328365489,0.1329900484569413,0.001618249131335378,0.9998488383448814,0.99975274124813,0,,sqa_test_670263205e91d781b778aced7a03ac0d0737eb891359639eb1c02ad115e946b5,0.025372717932803646,0.025063693558898342,0.8900531955608989,0.585057835120382,0.23020232041477162,0,
intro_001,sqa_test_9d7286985a26c4ee2c1e1a3356b2deae6f41fe2d4246ac34be309c3e4ccac196,0.9446878717814068,0.17040163102782924,0.00031224402560868866,0.9999736813071176,0.9999493811154144,1,,sqa_test_1984659f182697f6dd5382ae3be5592b54e45c49729e4236d81da3f7a4a0ec3c,0.025259977739333403,0.025019895033398125,0.9015331670348106,0.7030404227308957,0.5461708865909023,1,
intro_002,sqa_test_a2ee0f9e1d81123b42bd6b4ee113fbf4020314b184b1aa0d92e3ca9044caff21,0.8614584987031367,0.05602673891687314,0.06785155138684845,0.9891361423930478,0.9824713970424808,1,,sqa_test_f2ce67616cd40ccf513be3830e4f531b81656c5ab0cd11f946a84a2f83b8bd4f,0.025297695108844928,0.025120364146264063,0.9872550962286283,0.5935018625276482,0.3131514336800914,1,
intro_025,sqa_test_18e58bf28a569c55ff6beaef0a5928838393bd42e3d161e81866dc09c5405fb7,0.18677256708537793,0.06229650852350853,0.012583947055507444,0.9985067540031718,0.9975962338097244,0,,sqa_test_273b41ec5183303b7aaa5ee57d91ee8b2605cb147edecb1a2733259d7012003d,0.026394793135001725,0.0251564645936043,0.7367451875158733,0.5570542481280158,0.12321996347266445,0,
intro_021,sqa_test_f255b07c12685251e216805908fed4a801c9bb5b8b83cb8ecf348c73e186a8e3,0.2654631025375202,0.02557529880652369,0.000427677759327958,0.9999652923906042,0.999950553697659,1,,sqa_test_4d66cfb721680890a147cf169be129a6c8a117b50a040609430cef6e50303932,0.02614513421767275,0.025017755450701343,0.9143177116936629,0.6709265454014253,0.4787028603456567,0,
intro_027,sqa_test_83f61c81465dca5809582fad41ffd6fde762da020ae063784a4cc5ca4d32af88,0.1727961017765094,0.025108835460178527,0.006784207209347437,0.9992424694871831,0.9986898041605613,0,,sqa_test_c5543da22e1aa18bba61d0f46f29f2976fffbf5065275ac626d8993827bb61c9,0.026441466453530207,0.025431697982272506,0.799949920902886,0.7343156945497009,0.6067107681760934,0,
intro_014,sqa_test_56ed28fe93a9be035dd87f35ce932dfd7d04cb03c48e4add8bd03a65812407da,0.4425868839230153,0.16983292733482466,0.044741588071456825,0.9933698190151711,0.9893101427867584,1,,sqa_test_c5792cab43b4fb85a829692fd2af7f699fce26b2d7c1fefd5fcfa2c941fede17,0.025932628645526586,0.025011702277946874,0.9379202569378364,0.6505306684948944,0.41121380257190954,0,
intro_009,sqa_test_a5a8e9ef594ee09aed97f76fe279d0fcbf91b927076d1601de65112dc8490a8e,0.6808373140231487,0.17173453915862052,0.0052318207767729705,0.999437085392127,0.9991018117016209,1,,sqa_test_10f76735391f41160a7cd48281a1fdb0e04af1e5a47e0e2ffc160abf48b35f10,0.025727002746092634,0.025271295865057383,0.7987372871172359,0.6516107635646966,0.3438116334507005,0,
intro_016,sqa_test_699217e05f0ab897577a7cf62d664b48b6e07ddb19209d17cf764b04345da2c3,0.28722483241306324,0.04948135958552093,0.0008737172061279268,0.9999241044942948,0.9998887496683416,1,,sqa_test_5384d4ae721c7c7bf1fb645a8969c9aaf6b33785dfa52a0db2842a7024412faf,0.026020001858925574,0.025319770937385938,0.9866710697689172,0.6743619723709001,0.5571754401038506,0,
intro_020,sqa_test_fcfba6f3e0f42b43e146ca4066db9b84d049661c70cc17d09ad100738eef850a,0.2689654651360155,0.02607360375227986,0.0016639467360512745,0.999844835427881,0.999760030326064,1,,sqa_test_159d9448f64aa9e7a3deae7a1a46f1e59b029b1c8cba82fdf588697b3b370f52,0.02612619912806272,0.02501801847499796,0.8377862128550426,0.6814525285047818,0.4307601083062823,1,
intro_006,sqa_test_9d6461c01ef5e4a76979b171cd5f30c6219297d9bb191f4e0959becc6e88d336,0.7210934257299346,0.0262562781741063,0.0007076175079878977,0.9999400755381729,0.9999157761572403,1,,sqa_test_d87c4b8275b9cbc95362d9039f657e9db3e258363b4545b1f39f61ab55f330bd,0.02546172873004914,0.025066145142749158,1.0015098589722298,0.622827394455938,0.39370198015181457,1,
intro_000,sqa_test_8e12cf0b4ea504403976485e99f13f469492029ac64dec21a92f2b014ba5e183,0.9491778876341986,0.025112807944562086,0.0005578213586276605,0.9999538220276746,0.9999371210961068,0,,sqa_test_f0e2d2594d02aef81dbfdeb949ee73291cdc4d3c8157cd3e243981413c6c0770,0.02524927230393554,0.025023049535335722,0.7032159627783341,0.8002736121369003,0.7159254040354394,0,
intro_031,sqa_test_1954acb620b812f8ddca578b7dafffb1e0820cc8afef618fb9c0c71a70d1b4f2,0.15620832911326243,0.026344089598960962,0.0028068802016075105,0.9997127556880232,0.9994822620641247,1,,sqa_test_661508102b2d53713ff201ba2fdb931f597b9c55a127e84d10bb50d31748bc2d,0.026539842978735437,0.025089495616778607,0.823973982254061,0.6839923171700135,0.43236557576770573,0,
intro_017,sqa_test_e6b2d7471cb9df7fc331a4a124275c4b9cbffbcbde5e3eca253ee023373a13fc,0.28637979473732,0.07849040163114827,0.0334314660212909,0.9953327618198745,0.99216483555536,1,,sqa_test_45f627873f3eaf364c2176206bdb82a85b3ef8f81d73bad84c5583da223cf4cc,0.026063611332938854,0.025644468390974316,0.9406819167350818,0.5711987506579959,0.22474919559436968,0,
intro_015,sqa_test_819e4e2ae832d3da5dcb0d49c9cd63a4f9f8898ac7d5832f87db72165d74ed8e,0.3247074632007169,0.03422691416441767,0.05240731924032632,0.9911111036166551,0.982536312922875,0,,sqa_test_625d3f801a785d26deb2eaf4e7032320ba385055f8f87ad2e3b4536c1e76e631,0.0259425842077612,0.025020341862049985,1.002794229603374,0.5959823548317724,0.3767326730516225,1,
intro_028,sqa_test_1708f1d366967826783a38c86b6be67d85f997ee999f5927d75ae0218fc891a4,0.16195432042839808,0.026591579565031793,0.0068978924645620695,0.9991655785803242,0.9983615169935237,1,,sqa_test_a72a67ff8fd988ebc63fa9d4bd35938319dcf3436dbd9a0349969c6ff9f7d410,0.02645591714479936,0.02502413407476488,0.8519922414519707,0.7050312406282861,0.5030364082519913,0,
intro_019,sqa_test_a105521f0184048669e68b04356694ade0664a4dbf5024f8ffd548e4932b0e6f,0.2806027020154392,0.027128773850793073,0.002244346079874434,0.999779485766536,0.9996210594454173,1,,sqa_test_7652ae8935cdb13a46af5ff110f2c7b7a802cf585a0615dffffcfc095ecc759b,0.026079397105874078,0.025073718727017663,0.7182444121974011,0.799097302501486,0.7148730752536239,1,
intro_022,sqa_test_cbefa66845ee772d343077afba89e716060aae5630c3ee0e2d45e2e3f23722a5,0.2542274966444523,0.1502695246676641,0.012473210486518225,0.9984606734537842,0.99729159635137,1,,sqa_test_8d36f1f883b68f4d5071e76b369555e1a68d9af6dd8d8e74191271544e17034a,0.026293145681281816,0.02502815913169327,1.0345242493317572,0.6042524223623188,0.3819603391482602,0,
intro_026,sqa_test_2a4905fd4d35830c1cf5cba4ab46ce92a8d7527264de0fc49bfded30d784f23a,0.18124420733808938,0.02578104563522955,0.09217988812572071,0.9835280977714184,0.9694988260645206,1,,sqa_test_350e6e1b8effa2e1195d87025e6aa577fab644332fc8861641a7f41c386e6478,0.026428003840254472,0.02554709746634598,1.0171172050460706,0.5626869901813518,0.2968924763571694,0,
intro_034,sqa_test_2e6ae3cb9e1b010d46c351f0f5ace3bb5251468a1afc36f420e972bc0f474906,0.1400565487823357,0.03256240159499144,0.0008509790311439368,0.999924881825123,0.9998734408414235,1,,sqa_test_f7ab916f77103b9e18539004f97cee90e459f2e4c65fc1d8925fea0f76555109,0.02667981689710509,0.02503233476719383,0.9259778897539716,0.5740108789266072,0.22585568184902355,0,
intro_003,sqa_test_9a2eea65cb48b8e7ce6532236545e7ce3d5d0d48762fc6aba5a53299f6915b86,0.8267977880472608,0.03478956818068809,0.0002666680116087634,0.9999788209739796,0.9999658139487022,1,,sqa_test_59e99cdba70c49380b0d60cd42c985acff882aa49991cb0281df3ae97f782217,0.025326199364540652,0.02502894079525937,0.8187893278316485,0.7559610380840788,0.6536528399281482,1,
intro_008,sqa_test_1215fa2d1ee9186c75c96c26d6adc91f1eb4282d00d28092fdd2fa3d14ab9200,0.712004994858979,0.027657476094425478,0.003585119822361387,0.999642468767058,0.9995026771600795,1,,sqa_test_127c45a6feaccb8a4e88692ab4d675438c49527bf5813b3e9f0620b1b9a7c364,0.025540446626390025,0.025057531188413393,0.7221849703258345,0.5587761372497918,0.12360086993650715,0,
